key_id,note_name,length,density,r_string
0,A0,1.5,0.06,0.0016
1,A#0,1.47,0.058,0.00158
2,B0,1.44,0.056,0.00156
3,C1,1.41,0.054,0.00154
4,C#1,1.38,0.052,0.00152
5,D1,1.36,0.05,0.0015
6,D#1,1.33,0.048,0.00148
7,E1,1.3,0.046,0.00146
8,F1,1.27,0.044,0.00144
9,F#1,1.24,0.042,0.00142
10,G1,1.21,0.04,0.0014
11,G#1,1.18,0.038,0.00138
12,A1,1.15,0.036,0.00135
13,A#1,1.12,0.034,0.00133
14,B1,1.09,0.033,0.00131
15,C2,1.06,0.032,0.00129
16,C#2,1.03,0.031,0.00127
17,D2,1,0.03,0.00125
18,D#2,0.98,0.029,0.00123
19,E2,0.96,0.028,0.00121
20,F2,0.94,0.027,0.00119
21,F#2,0.92,0.026,0.00117
22,G2,0.9,0.025,0.00115
23,G#2,0.88,0.024,0.00113
24,A2,0.86,0.023,0.00111
25,A#2,0.84,0.022,0.00109
26,B2,0.82,0.021,0.00107
27,C3,0.8,0.0205,0.00105
28,C#3,0.78,0.02,0.00103
29,D3,0.76,0.0195,0.00101
30,D#3,0.75,0.019,0.001
31,E3,0.74,0.0185,0.00099
32,F3,0.73,0.018,0.00098
33,F#3,0.72,0.0175,0.00097
34,G3,0.71,0.017,0.00096
35,G#3,0.7,0.0165,0.00095
36,A3,0.69,0.016,0.00094
37,A#3,0.68,0.0155,0.00093
38,B3,0.67,0.015,0.00092
39,C4,0.66,0.0145,0.00091
40,C#4,0.65,0.014,0.0009
41,D4,0.64,0.0137,0.00089
42,D#4,0.63,0.0134,0.00088
43,E4,0.62,0.0132,0.00087
44,F4,0.61,0.013,0.00086
45,F#4,0.6,0.0128,0.00085
46,G4,0.59,0.0126,0.00084
47,G#4,0.58,0.0124,0.00083
48,A4,0.57,0.0122,0.00082
49,A#4,0.56,0.012,0.00081
50,B4,0.55,0.0118,0.0008
51,C5,0.54,0.0116,0.00079
52,C#5,0.53,0.0114,0.00078
53,D5,0.52,0.0112,0.00077
54,D#5,0.51,0.011,0.00076
55,E5,0.5,0.0108,0.00075
56,F5,0.49,0.0106,0.00074
57,F#5,0.48,0.0104,0.00073
58,G5,0.47,0.0102,0.00072
59,G#5,0.46,0.01,0.00071
60,A5,0.45,0.0098,0.0007
61,A#5,0.44,0.0096,0.00069
62,B5,0.43,0.0094,0.00068
63,C6,0.42,0.0092,0.00067
64,C#6,0.41,0.009,0.00066
65,D6,0.4,0.0088,0.00065
66,D#6,0.39,0.0086,0.00064
67,E6,0.38,0.0084,0.00063
68,F6,0.37,0.0082,0.00062
69,F#6,0.36,0.008,0.00061
70,G6,0.35,0.0078,0.0006
71,G#6,0.34,0.0076,0.00059
72,A6,0.33,0.0074,0.00058
73,A#6,0.32,0.0072,0.00057
74,B6,0.31,0.007,0.00056
75,C7,0.3,0.0068,0.00055
76,C#7,0.29,0.0066,0.00054
77,D7,0.28,0.0064,0.00053
78,D#7,0.27,0.0062,0.00052
79,E7,0.26,0.006,0.00051
80,F7,0.25,0.0058,0.0005
81,F#7,0.24,0.0056,0.00049
82,G7,0.23,0.0054,0.00048
83,G#7,0.22,0.0052,0.00047
84,A7,0.21,0.005,0.00046
85,A#7,0.2,0.0048,0.00045
86,B7,0.19,0.0046,0.00044
87,C8,0.18,0.0044,0.00043
